City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Santa Fe,35,AR,1556052584,67,-31.62,-60.7,296.48,1.79
Kashan,52,IR,1556049600,39,33.99,51.44,282.15,2.1
Ribeira Brava,40,PT,1556052454,63,32.65,-17.07,290.15,5.1
Zacualpan,75,MX,1556052325,25,21.25,-105.17,304.15,5.1
Merauke,100,ID,1556052602,78,-8.49,140.4,302.012,9.37
Praia da Vitoria,75,PT,1556051480,72,38.73,-27.07,291.15,10.37
Porto Novo,75,BR,1556049600,73,-23.68,-45.44,298.15,4.6
Yeppoon,75,AU,1556049600,94,-23.13,150.74,295.15,3.6
Seymchan,44,RU,1556052602,86,62.93,152.39,269.512,0.96
Naryan-Mar,100,RU,1556052603,93,67.67,53.09,268.212,2.89
Ust-Koksa,31,RU,1556052604,81,50.27,85.62,266.812,1.87
Mount Isa,0,AU,1556049600,68,-20.73,139.49,294.15,4.1
Nador,1,MA,1556051400,67,35.17,-2.93,288.15,3.6
Sinnamary,100,GF,1556052604,84,5.38,-52.96,300.412,6.17
Swan River,100,CA,1556052604,25,52.11,-101.27,291.712,5.94
Zhangye,45,CN,1556052605,54,38.94,100.46,282.812,4.16
Kodinsk,28,RU,1556052605,92,58.6,99.18,269.312,2.09
Labuhan,87,ID,1556052605,88,-2.54,115.51,296.812,1.45
Plettenberg Bay,52,ZA,1556052606,94,-34.05,23.37,288.212,2.42
Thunder Bay,20,CA,1556052480,22,48.41,-89.26,287.59,5.1
Kampot,20,KH,1556049600,88,10.62,104.18,301.15,4.1
Nola,14,CF,1556052606,67,3.52,16.05,299.312,1.11
Dalian,0,CN,1556049600,94,19.86,110.11,298.15,2
Almaznyy,0,RU,1556049600,37,48.03,40.04,286.15,3
Luderitz,0,NA,1556049600,67,-26.65,15.16,290.15,4.1
Sao Filipe,36,CV,1556052607,77,14.9,-24.5,295.012,8.02
Sur,0,OM,1556052607,42,22.57,59.53,303.412,1.1
Khasan,98,RU,1556052607,89,42.43,130.64,283.212,0.63
Grootfontein,73,NA,1556052608,50,-19.56,18.1,294.412,1.52
Murray Bridge,54,AU,1556052607,94,-35.12,139.28,284.82,1.47
Humberto de Campos,94,BR,1556052420,85,-2.6,-43.46,299.312,2.8
Tarko-Sale,3,RU,1556052396,85,64.92,77.78,256.48,4.01
Doha,0,QA,1556049600,28,25.29,51.53,296.15,6.2
Southport,90,US,1556052606,46,42.05,-76.82,294.26,5.1
Lazaro Cardenas,5,MX,1556052323,16,28.39,-105.62,299.82,11.15
Tigil,88,RU,1556052609,71,57.8,158.67,273.812,2.83
Lavrentiya,97,RU,1556052609,90,65.58,-170.99,264.712,9.14
Lar,0,IR,1556049600,31,27.66,54.32,291.15,3.7
Luanda,95,AO,1556052609,85,-8.83,13.24,300.512,5.11
Necochea,0,AR,1556049688,58,-38.55,-58.74,293.15,1.34
Bilibino,0,RU,1556052675,61,68.06,166.44,263.812,2.73
Davila,0,PH,1556052675,80,18.47,120.58,300.712,2.04
Tiruchchendur,18,IN,1556052675,71,8.48,78.12,302.212,0.15
Rio Branco,40,BR,1556049600,66,-9.98,-67.82,304.15,1.5
Okato,84,NZ,1556052676,81,-39.19,173.88,289.612,5.16
Shasta Lake,1,US,1556052618,33,40.68,-122.36,305.93,1.5
Batemans Bay,0,AU,1556052319,95,-35.71,150.18,288.15,0.9
Usinsk,100,RU,1556052676,91,66,57.56,267.212,3.45
Bahia de Caraquez,75,EC,1556049600,66,-0.6,-80.42,303.15,5.1
Mugumu,100,TZ,1556052676,92,-1.84,34.67,290.412,1.2
Atasu,3,KZ,1556052676,56,48.68,71.64,277.912,2.1
Keti Bandar,0,PK,1556052677,87,24.14,67.45,299.312,6.54
Gat,0,SN,1556051400,82,14.69,-16.54,293.15,7.2
Leh,48,IN,1556052564,42,34.16,77.58,268.712,2.42
Barpeta,20,IN,1556049600,83,26.33,91.01,297.15,2.58
Biak,100,ID,1556052677,99,-0.91,122.88,292.412,0.7
Rusera,1,IN,1556052677,39,25.75,86.02,301.912,2.76
Itoman,75,JP,1556052187,94,26.12,127.67,298.15,4.6
Pitimbu,40,BR,1556049600,83,-7.47,-34.81,301.15,3.1
La Ronge,75,CA,1556049600,39,55.1,-105.3,290.15,7.7
Mantua,75,IT,1556052665,87,45.16,10.79,288.15,3.6
Sandwick,99,GB,1556052612,70,54.57,-2.89,288.15,1.79
Berezayka,41,RU,1556052679,65,57.99,33.91,282.812,1.85
Omboue,98,GA,1556052679,81,-1.57,9.26,301.512,4.28
Port Macquarie,97,AU,1556049600,93,-31.43,152.91,288.15,0.5
Pucallpa,11,PE,1556052679,40,-8.38,-74.54,308.212,1.58
Ngunguru,2,NZ,1556051584,88,-35.62,174.5,288.15,3.13
Marsa Matruh,0,EG,1556049600,77,31.35,27.25,289.15,5.1
Knysna,52,ZA,1556050320,93,-34.04,23.05,288.15,2.1
Fukue,90,JP,1556052250,88,35.03,136.69,291.48,5.7
Mackay,20,CA,1556049600,28,53.65,-115.58,287.15,7.7
Acari,52,BR,1556052483,63,-6.44,-36.64,301.612,5.69
Manicore,75,BR,1556049600,79,-5.81,-61.3,302.15,1.5
Shenjiamen,89,CN,1556052680,98,29.96,122.3,291.412,1.85
Niamey,49,NE,1556052680,42,13.52,2.11,303.512,0.43
Walvis Bay,0,NA,1556049725,87,-22.95,14.51,285.93,0.5
Luganville,40,VU,1556049600,88,-15.51,167.18,299.15,1.84
Tereze,0,RU,1556049600,69,43.94,42.44,276.15,2
Tulu Bolo,100,ET,1556052746,88,8.66,38.21,289.212,1.6
Thinadhoo,76,MV,1556052746,79,0.53,72.93,303.012,7.29
Plymouth,0,GB,1556052724,82,50.37,-4.14,288.15,1
Dengfeng,0,CN,1556052747,90,34.46,113.03,288.612,0.45
Klaksvik,99,FO,1556050800,87,62.23,-6.59,282.15,8.7
Ambilobe,100,MG,1556052747,93,-13.19,49.05,297.012,4.34
High Level,20,CA,1556049600,21,58.52,-117.13,284.15,8.7
Juneau,90,US,1556052500,100,58.3,-134.42,277.59,3.6
College,90,US,1556052738,92,64.86,-147.8,273.15,5.7
Labytnangi,0,RU,1556052748,59,66.66,66.39,255.212,1.87
Vung Tau,90,VN,1556052748,78,10.35,107.08,302.012,7.21
Rabo de Peixe,75,PT,1556052742,77,37.8,-25.58,289.15,5.1
Krasnoarmeysk,0,RU,1556051671,50,56.12,38.15,288.71,3
Urengoy,0,RU,1556052748,95,65.96,78.37,251.812,3.91
Novo Aripuana,100,BR,1556052748,89,-5.12,-60.38,300.412,1.65
Shahe,0,CN,1556052748,79,36.85,114.5,288.712,0.71
Bilma,92,NE,1556052749,6,18.69,12.92,303.012,4.4
Hudiksvall,0,SE,1556052704,40,61.73,17.1,287.04,0.45
Jiwani,1,PK,1556052749,84,25.05,61.74,299.912,5.57
Saryg-Sep,0,RU,1556052749,38,51.49,95.55,272.512,1.33
Harer,40,US,1556052511,44,42.19,-111.17,292.59,6.2
Lompoc,1,US,1556052414,28,34.64,-120.46,304.15,5.09
Puerto Madryn,0,AR,1556052749,33,-42.77,-65.04,289.012,3.03
